109,9,15,Maroon
244,2,245,Magenta
255,0,0,Red
242,5,237,Magenta
254,5,255,Magenta
134,0,0,Maroon
11,0,11,Black
204,209,207,Silver
117,20,18,Maroon
0,18,17,Black
7,0,255,Blue
147,145,0,Olive
191,199,196,Silver
145,117,138,Gray
5,245,255,Cyan
128,108,124,Gray
0,17,11,Black
0,15,146,Navy
131,141,20,Olive
136,0,146,Purple
1,11,147,Navy
7,255,20,Lime
255,1,254,Magenta
12,11,110,Navy
255,15,253,Magenta
0,0,128,Navy
18,255,0,Lime
113,3,121,Purple
116,2,0,Maroon
0,123,125,Teal
6,6,0,Black
0,0,255,Blue
255,0,238,Magenta
255,2,255,Magenta
126,7,144,Purple
255,254,18,Yellow
205,202,173,Silver
0,0,0,Black
10,252,255,Cyan
143,15,8,Maroon
187,212,191,Silver
0,0,2,Black
119,10,113,Purple
255,2,0,Red
0,133,124,Teal
2,0,0,Black
248,0,255,Magenta
255,247,9,Yellow
238,2,0,Red
15,246,4,Lime
255,255,15,Yellow
145,0,132,Purple
237,0,255,Magenta
133,0,134,Purple
0,7,255,Blue
0,123,19,Green
0,0,235,Blue
10,19,142,Navy
0,0,240,Blue
4,0,237,Blue
243,255,255,White
0,129,0,Green
124,131,123,Gray
0,16,0,Black
255,0,5,Red
123,7,121,Purple
0,1,255,Blue
16,0,130,Navy
137,143,134,Gray
0,0,245,Blue
202,196,177,Silver
253,243,236,White
255,255,0,Yellow
9,0,247,Blue
15,20,255,Blue
108,0,136,Purple
255,255,255,White
124,0,19,Maroon
116,0,114,Purple
0,255,18,Lime
0,143,110,Teal
255,241,255,White
182,193,210,Silver
18,249,244,Cyan
147,115,129,Gray
255,241,0,Yellow
255,253,6,Yellow
0,0,252,Blue
13,112,119,Teal
4,147,0,Green
129,115,0,Olive
0,118,11,Green
8,135,142,Teal
255,238,245,White
255,255,0,Yellow
0,255,255,Cyan
4,122,119,Teal
0,109,18,Green
0,144,0,Green
133,129,11,Olive
250,236,255,White
191,195,174,Silver
247,13,255,Magenta
8,141,5,Green
124,3,9,Maroon
7,235,13,Lime
255,0,0,Red
0,145,0,Green
8,113,124,Teal
6,255,0,Lime
200,198,184,Silver
121,0,12,Maroon
0,254,247,Cyan
247,255,255,White
132,0,114,Purple
0,255,255,Cyan
0,147,0,Green
241,255,238,White
0,255,17,Lime
0,255,241,Cyan
114,148,13,Olive
4,255,253,Cyan
0,130,12,Green
120,125,134,Gray
243,255,2,Yellow
255,0,244,Magenta
255,255,0,Yellow
14,255,245,Cyan
1,132,111,Teal
246,239,255,White
131,0,20,Maroon
7,0,249,Blue
3,0,13,Black
146,146,121,Gray
130,0,112,Purple
18,20,144,Navy
7,1,11,Black
132,0,0,Maroon
248,7,14,Red
18,113,128,Teal
0,0,0,Black
0,111,0,Green
126,0,1,Maroon
20,0,0,Black
0,132,0,Green
128,0,0,Maroon
192,204,193,Silver
248,236,255,White
252,3,2,Red
255,0,236,Magenta
144,108,126,Gray
135,124,118,Gray
11,255,255,Cyan
140,11,121,Purple
211,207,182,Silver
137,141,0,Olive
191,211,203,Silver
13,16,0,Black
137,110,131,Gray
252,6,252,Magenta
0,0,16,Black
